0.258261365049013036365721518450 -0.934177165677770093843435006420 -0.891602777672576451983843526250 -0.839231125178339754100420577743 -0.777958405653584539329870040092 -0.708144365504972617131329570839 -0.630289100605513907815691254655 -0.545827024803086091608861352142 -0.455147297111670567915098217782 -0.359356015826847785543662894270 -0.260098934187116881400214651876 -0.158225868693991078561822405391 -0.053585783173208882679272591076 0.051088276578917353465403294877 0.155160895308083357502226817815 0.257466752873984017213615516084 0.357181172630919641086677529529 0.452845945228687263295341836056 0.543562100012160653861315040558 0.628549739953254249513747708988 0.706215905980661196039704918803 0.776749752729997244848902937520 0.837941970317847339977390674903 0.890280792663470155190452715033 0.933131433188985615068133938621 0.966202567411475143899224349298 0.987515477232951521813220097101 0.998789184266559826319564763253 0.998693121098432889937157597160 0.986819205876857896697629257687  | 0.258263602948766046729645040614 0.741798505855078560422555256082 
0.925674740672940976615734598454 -0.928990485343292538011894521333 -0.896879395429487469293405865756 -0.831704431922258846654472108639 -0.769207115625451187668204511283 -0.698109804509357667612334807927 -0.641255329764053749741492538305 -0.534004303423181614363102198695 -0.443060194893465653098729717385 -0.346591789539108685591628500333 -0.246812313223409462992208318610 -0.143921710222123161448948280849 -0.039815192170938262794521733667 0.065069122148125227433901329732 0.168931329462280510611549289024 0.271021645589567983236634063360 0.370241250197122007126182552383 0.465167180139506919456238165367 0.554922771200859976659103267593 0.639069209711700225717834200623 0.715870814534619204216880916647 0.785014196315771628498225709336 0.845378760348008406744213516504 0.896665420850992100909593318647 0.937990364949850774500816896762 0.969119365400117338538166222861 0.989461679705645136273517437075 0.999208691666839898815055676096 0.998009100149654604372528865497 0.985694373182992356063891747908  | 0.985800765682420587765477648645 0.074328579848294898391181106945 
0.258261365049013036365721518450 -0.934177165677770093843435006420 -0.891602777672576451983843526250 -0.839231125178339754100420577743 -0.777958405653584539329870040092 -0.708144365504972617131329570839 -0.630289100605513907815691254655 -0.545827024803086091608861352142 -0.455147297111670567915098217782 -0.359356015826847785543662894270 -0.260098934187116881400214651876 -0.158225868693991078561822405391 -0.053585783173208882679272591076 0.051088276578917353465403294877 0.155160895308083357502226817815 0.257466752873984017213615516084 0.357181172630919641086677529529 0.452845945228687263295341836056 0.543562100012160653861315040558 0.628549739953254249513747708988 0.706215905980661196039704918803 0.776749752729997244848902937520 0.837941970317847339977390674903 0.890280792663470155190452715033 0.933131433188985615068133938621 0.966202567411475143899224349298 0.987515477232951521813220097101 0.998789184266559826319564763253 0.998693121098432889937157597160 0.986819205876857896697629257687  | 0.258263602948766046729645040614 0.741798505855078560422555256082 
0.925674740672940976615734598454 -0.928990485343292538011894521333 -0.896879395429487469293405865756 -0.831704431922258846654472108639 -0.769207115625451187668204511283 -0.698109804509357667612334807927 -0.641255329764053749741492538305 -0.534004303423181614363102198695 -0.443060194893465653098729717385 -0.346591789539108685591628500333 -0.246812313223409462992208318610 -0.143921710222123161448948280849 -0.039815192170938262794521733667 0.065069122148125227433901329732 0.168931329462280510611549289024 0.271021645589567983236634063360 0.370241250197122007126182552383 0.465167180139506919456238165367 0.554922771200859976659103267593 0.639069209711700225717834200623 0.715870814534619204216880916647 0.785014196315771628498225709336 0.845378760348008406744213516504 0.896665420850992100909593318647 0.937990364949850774500816896762 0.969119365400117338538166222861 0.989461679705645136273517437075 0.999208691666839898815055676096 0.998009100149654604372528865497 0.985694373182992356063891747908  | 0.985800765682420587765477648645 0.074328579848294898391181106945 
0.924928251138597778968630791496 -0.934186756946014940083955480077 -0.891602810126293499060068370454 -0.839231055205811871111620803276 -0.777958405653483286990024225815 -0.708144611658946598886643641890 -0.630289084763019147317208989989 -0.545827021704522574729878670041 -0.455147056310438669068929584682 -0.359356015846172771599498219075 -0.260099070639970009199970490954 -0.158205080614890747359169154151 -0.053586067354660316119918661570 0.051088392380882308163592142591 0.155155854384489144681680272697 0.257475355037214914677434762780 0.357181172570874561067455488228 0.452899254689860364386788660340 0.543562100007190074357765752211 0.628550811942509168872561531316 0.706216143209651092682577200321 0.776611123368959321844329224405 0.837947544886380346618182102247 0.890283827805413929823430407851 0.933132140207438176560117426561 0.965517461720882264053500421142 0.987515484915981511804261572252 0.998789110602608443123529013974 0.998693125855418584180256402760 0.987298546547687339014487406530  | 0.924930249933517689697737296228 0.075106272208369753706769245127 
0.259006782356375753195720790245 -0.928990629459118699706721145049 -0.897910643929787699590860938770 -0.831704399771298286125897902821 -0.769207088192151111627481441246 -0.698109804496613195468057710968 -0.619521247923653040068359132420 -0.534004303425068105326545264688 -0.442347208216091802857050652165 -0.346591789540146244519291940378 -0.246812313254407611484708695571 -0.143911232043793718693436289868 -0.039814424873167837681808833850 0.064980731654136536512567090540 0.168931325407349702816262038141 0.271021645586922266257801084066 0.370245198404614839216009158918 0.465164686784269920671874842810 0.554918936486305969246757285873 0.639069209704320351228545860067 0.715870814563493551574424600403 0.785014196314583356794969404291 0.845374854300814604357583448291 0.896665424409819999951309910102 0.937990377802864983003416909924 0.969119364577596398291348123166 0.989461780886927155798105104623 0.999208691669186577222205869475 0.998009123414063337165202938195 0.985694371752135922726267835969  | 0.289083812337909695777682372864 0.740995166449791686780201871443 
0.259006782356375753195720790245 -0.928990629459118699706721145049 -0.897910643929787699590860938770 -0.831704399771298286125897902821 -0.769207088192151111627481441246 -0.698109804496613195468057710968 -0.619521247923653040068359132420 -0.534004303425068105326545264688 -0.442347208216091802857050652165 -0.346591789540146244519291940378 -0.246812313254407611484708695571 -0.143911232043793718693436289868 -0.039814424873167837681808833850 0.064980731654136536512567090540 0.168931325407349702816262038141 0.271021645586922266257801084066 0.370245198404614839216009158918 0.465164686784269920671874842810 0.554918936486305969246757285873 0.639069209704320351228545860067 0.715870814563493551574424600403 0.785014196314583356794969404291 0.845374854300814604357583448291 0.896665424409819999951309910102 0.937990377802864983003416909924 0.969119364577596398291348123166 0.989461780886927155798105104623 0.999208691669186577222205869475 0.998009123414063337165202938195 0.985694371752135922726267835969  | 0.289083812337909695777682372864 0.740995166449791686780201871443 
0.925674740672940976615734598454 -0.928990485343292538011894521333 -0.896879395429487469293405865756 -0.831704432041938335196107345837 -0.769205905407124190809042829642 -0.698109804509357667612334807927 -0.641161441388131358998236919433 -0.534004303423181614363102198695 -0.443060194893465653098729717385 -0.346591789539108685591628500333 -0.246812313223409462992208318610 -0.143921710222123161448948280849 -0.039814400971936801665318483856 0.065069122148125227433901329732 0.168931329462280510611549289024 0.271021640824134490976859979128 0.370241284188053354498038061138 0.465167180139570202168641799290 0.554922797542581558438712363568 0.639069209994383768957959546242 0.715870814534619204216880916647 0.785014196315685586213817259704 0.845364712545468077742327750457 0.896665420850992100909593318647 0.937990377599403069019956546981 0.969119365327781423502528923564 0.989461656377145892804492177675 0.999208691666830461919346362265 0.998009979226959553777476230607 0.985694373182992356063891747908  | 0.985511020746253296742622751481 0.074328579867519450896651278526 
0.925674740672940976615734598454 -0.928990485343292538011894521333 -0.885062116005761012615948857274 -0.831704432041938335196107345837 -0.769205905407124190809042829642 -0.698109806743917205018590266263 -0.619864656901647492759366286919 -0.534004303147433079246297893405 -0.443063037616203692081739973219 -0.346591789539108685591628500333 -0.246812310304617532619175790387 -0.143922445987093666763811938836 -0.039815214951702683487955169994 0.064980731649689774109823758863 0.168931329477723879417538910275 0.271021640824134490976859979128 0.370241305844829893256786590428 0.465167180139570202168641799290 0.554922797542581558438712363568 0.639069210002639276346769747761 0.715870815098824997413373694144 0.785014196315685586213817259704 0.845364189393448595133406797686 0.896665512429514754977333268471 0.937990364911416185655923527520 0.969119365392307363649138096662 0.989462854830534865868685301393 0.999208691666830461919346362265 0.998009979226959553777476230607 0.985694373196494888489382901753  | 0.925721378584649867704570169735 0.074328634887707883960317190031 
0.259006674734264530357563671714 -0.928990485343292538011894521333 -0.885062124129206706513173230633 -0.831704431924834786116207396844 -0.769207088192151111627481441246 -0.698109804496613195468057710968 -0.619864655126271313356767223013 -0.534004303425068105326545264688 -0.442354943414328349859943045885 -0.346591789540146244519291940378 -0.246812313254407611484708695571 -0.143922447990474350332235076166 -0.039815218004669868101519369930 0.064980731654136536512567090540 0.168931325407349702816262038141 0.271021645586922266257801084066 0.370237490753461240267085941014 0.465167180198352125941596568737 0.554919807609355886235391608352 0.639069209704320351228545860067 0.715870814563493551574424600403 0.785014196314583356794969404291 0.845378799129778424337189335347 0.896665512428257316379642816173 0.937990364953183330953834229149 0.969119365399429222307503550837 0.989462854833311200586365430354 0.999208691669186577222205869475 0.998009123414063337165202938195 0.985694373693207559483653312782  | 0.259042821761385544387934487531 0.740995192214683240372607997415 
