0.000000000000000031225022567583 0.000000000000000000000000000000 1.120670443771753399531121431210 4.481358452066548814229918207275 3.500182806062715812345231825020 4.200219071073515664238584577106 4.900716052277537038150967418915 5.599559358550338927784650877584 6.299974110371207913772195752244 7.000055996944254843583621550351 7.700672185072128250737932830816 8.400733566241079586234263842925 9.100102141936009303435639594682 9.799940834188765492740458284970 10.500102055201006479023817519192 11.200109249271564593186667480040 11.900011526242479931170237250626 12.600013543140187621816039609257 13.301917158796525697539436805528 14.002018070218921863556715834420 14.701365060935049910995076061226 15.401429866050159844803602027241 16.100037891568714343293322599493 16.799977874080987305660528363660  | 0.000019943429498261624327731106 0.000019943429498261624327731106 6.000019943429498070486260985490 
2.000000000000000000000000000000 4.000000000000000000000000000000 3.585605441111703761691842373693 4.465141730825894939016507123597 3.500182806062715812345231825020 4.200219071073515664238584577106 4.900716052277537038150967418915 5.599559358550338927784650877584 6.299974110371207913772195752244 7.000055996944254843583621550351 7.700672185072128250737932830816 8.400733566241079586234263842925 9.100102141936009303435639594682 9.799940834188765492740458284970 10.500102055201006479023817519192 11.200109249271564593186667480040 11.900011526242479931170237250626 12.600013543140187621816039609257 13.301917158796525697539436805528 14.002018070218921863556715834420 14.701365060935049910995076061226 15.401429866050159844803602027241 16.100037891568714343293322599493 16.799977874080987305660528363660  | 1.000023049491467475036188261583 2.000013731305559705475616283366 0.000019943429498261624327731106 
2.000000000000000000000000000000 4.000000000000000000000000000000 4.635431470994684666209195711417 5.517378243031969553555882157525 3.500182806062715812345231825020 4.200219071073515664238584577106 4.900716052277537038150967418915 5.599559358550338927784650877584 6.299974110371207913772195752244 7.000055996944254843583621550351 7.700672185072128250737932830816 8.400733566241079586234263842925 9.100102141936009303435639594682 9.799940834188765492740458284970 10.500102055201006479023817519192 11.200109249271564593186667480040 11.900011526242479931170237250626 12.600013543140187621816039609257 13.301917158796525697539436805528 14.002018070218921863556715834420 14.701365060935049910995076061226 15.401429866050159844803602027241 16.100037891568714343293322599493 16.799977874080987305660528363660  | 1.000029162163956542030973650981 2.000001505960581571486045504571 0.000019943429498261624327731106 
2.000000000000000000000000000000 4.000000000000000000000000000000 6.000000000000000000000000000000 8.000000000000000000000000000000 10.000000000000000000000000000000 4.200003951412237590545828425093 4.900077096459765080282977578463 0.000000000000000000000000000000 18.000000000000000000000000000000 7.000186695565911776384382392280 0.000000000000001193489751472043 8.399955989668036693274189019576 0.000000000000000000000000000000 9.800273326163955189826992864255 10.500009062384163982528662018012 32.000000000000000000000000000000 11.900010383381083300946556846611 0.000000000000000032092384305571 38.000000000000000000000000000000 14.000097015697200220074591925368 0.000000000000001154390710626785 15.399860178427099199893746117596 0.000000000000000000000000000000 16.799959570990534274415040272288  | 2.999996016737873638646760809934 1.000001991631063180676619595033 0.999998008368936930345682867483 
1.960172401558591515069451816089 3.884762645763576216495494008996 5.997844491585630599672640528297 7.995692055265871900360252766404 3.648079090343456343248362827580 4.200005392288984396031992218923 4.638866728070304645825672196224 4.670396152223321273311285040108 5.493406423502502633482436067425 7.000155489409562115099561196985 6.864659356331149986374384752708 8.404842794158092544876126339659 9.138112427094357670398494519759 9.799927679492141052719489380252 10.498902897063187467097122862469 11.758522985238442970512551255524 11.830862757230926618490229884628 11.500054333006273665773733227979 36.745440064623430487245059339330 13.752283153274520444142581254710 14.793753536053721120424597756937 15.960263809811792157233867328614 16.150566876520933590200002072379 16.178028360250365835781849455088  | 1.275816308170230062302152873599 1.806942328449500312359532472328 0.298176486789290484669123770800 
1.999989562506027995780755190935 2.109201960130235864454562033643 5.996948508984544012889728037408 7.897464599443290822478047630284 3.448899780616408783373572077835 4.199856068093594352319541940233 4.201284217700941070461340132169 4.983242417306730231985056889243 5.925454130790982709697800601134 7.000051654120674982095806626603 7.245876203721808295199480198789 8.393439648029223931757769605611 8.300892875461526543290347035509 9.814700123872816206471725308802 10.516365767300992928312552976422 31.013032163354580461600562557578 11.900166750060728659832420817111 13.521698666667706589805675321259 36.389835367232130636239162413403 13.999986166788779939906817162409 0.979444692120718496397557828459 14.949692470685874923219671472907 17.715742168989201843487535370514 16.799959570990534274415040272288  | 1.330073764130566882357697977568 1.363536749855198682013224242837 1.741145431325009873546605376760 
0.389493922169829254187334299786 2.404673126144244665880478351028 1.005743788254173987084527652769 4.464362191576120686420381389325 3.511480221158940207004661715473 4.200403891733983208212066529086 4.899926438896778257969799597049 5.609780041313636722577484761132 6.242507894822434622028595185839 7.000332616489797210590495524229 7.679103634434748748560650710715 8.397450441276689048208936583251 9.170118443229085869461414404213 9.800418468162193974535512097646 10.501793941602223014797345967963 11.200286653013138860046638001222 11.899988598860833377557355561294 12.602842538277158723758475389332 13.258352340511946110268581833225 14.001967590448286316018311481457 14.699835658541298144541542569641 15.407281069353549796119295933750 16.099987215507031379502222989686 16.421314556612703228211103123613  | 0.401936205196138707229636111151 0.801356566913123735673707415117 3.616720436158222806710682561970 
0.000000000000000031225022567583 2.332858295202115961330946447561 1.120670443771753399531121431210 4.806477864489233198241890931968 3.500182806062715812345231825020 4.195537172541708770268087391742 4.900785801278898290433971851598 5.315841706498819263515542843379 6.299669585821647821433089120546 7.000055996944254843583621550351 7.700672185072128250737932830816 8.400733566241079586234263842925 9.100102141936009303435639594682 9.799940834188765492740458284970 10.500102055201006479023817519192 11.200109249271564593186667480040 11.900015365870526551361763267778 12.600013543140187621816039609257 13.301917158796525697539436805528 14.587654490488279890314515796490 14.701365060935049910995076061226 15.401429866050159844803602027241 16.100037891568714343293322599493 16.799977874080987305660528363660  | 0.298592810241501638301997445524 0.591583877336371855015784149145 4.257803062004518857008861232316 
0.616032764068275118241047039191 1.774229078084607724719035104499 5.841761765648513460291724186391 4.679139604267267493753479357110 3.157884800398318425607158133062 4.202188659168964335322016268037 4.900716838443910816636162053328 5.672381843781748145261190074962 6.301706497479607982370453100884 7.000168793265517663826358329970 7.698992504900347810803395987023 8.404336147401730627848337462638 9.083098780952001405353257723618 9.785441705462757155942199460696 10.499097011312406024785559566226 11.316843477818506968901601794641 11.952589239807123178138681396376 12.597439599340356508605509588961 12.865930080677054903048883716110 15.025004992004545201211840321776 14.695447210510012681083935603965 15.388957122354247175621821952518 15.394027237705394384192914003506 16.785025788299662963254377245903  | 0.398403933969397938685830240502 0.762420275398459912352677747549 3.763972658743023558258755656425 
1.820838041861524203568478696980 3.856840966062105469092102794093 5.822990808629167958088146406226 7.994034744246161672265316155972 3.500129350645764247929037082940 4.208321534642652572699716984062 4.351308640893504886548726062756 5.559416355369064532965239777695 6.599013367641556548903736256761 7.000610595880414344094333500834 7.366057873226278474021455622278 8.405005034317598600068777159322 8.699356429540072710437925707083 8.802463710585293199528678087518 9.867116968204690863331052241847 9.200282649846913685109939251561 11.952559079788882101524905010592 12.716210451958360749813436996192 37.595066106654442705803376156837 14.000549617741254948555251758080 14.701486759703342954708205070347 15.260334086995797520103224087507 16.022384254904046940737316617742 16.815880893800610351718205492944  | 1.209622298110223592715328777558 1.757954536904266840124932969047 0.518759082071847288375465723220 
1.960172401558591515069451816089 3.884762645763576216495494008996 5.485147705412432017624269064981 5.575961850687054521813479368575 3.806014131621357599044586095260 4.461060136279881405130254279356 4.896721405754573375190830120118 4.693909865370944345386305940337 5.493406423502502633482436067425 7.000040029930326035412235796684 6.900345747402116813873362843879 8.391639092992154047578878817149 9.137127901233254689827845140826 9.801209943153331494158919667825 10.498902897063187467097122862469 11.768931585711813525563229632098 11.830862757230926618490229884628 12.607355317787423132358526345342 11.684332873144011699650945956819 13.752185996148506674785494396929 14.701646317015622855706169502810 15.960263809811792157233867328614 16.100422033814954403396768611856 16.816418277559023408684879541397  | 1.071403088531575065189827000722 1.939722804297204339363247527217 0.206161165646088467839902591550 
0.237690574396282550129200217270 0.202136056587271073503586649167 5.775005865505091762202027894091 7.998020643742607127535393374274 3.497947572287583462014026736142 4.201360613569443458459318208043 4.901721498121170306205840461189 5.635608277170988777982074680040 6.261726913590870857717618491733 7.121444263278347897028197621694 7.771238119718036685412698716391 8.489156571510338977759602130391 9.097269085399272370295875589363 9.797717806572933341158204711974 10.434655726445658530110449646600 10.704908639753561772067769197747 11.903458904467859369447069184389 12.585144492322617892909875081386 13.296028808265853982106818875764 13.524368740023817281326046213508 14.701841671513511400348761526402 15.388900604187957910085060575511 16.100037891568714343293322599493 16.804700516830202161600027466193  | 0.094797566042810504916005243103 0.177202254414152132744320056190 5.501208357235074508650995994685 
